strategy,workflow_file,run_id,job_id,job_name,status,conclusion,started_at,completed_at,duration_s
B,pipeline-b-parallel-cache.yml,30856424961,91828403658,Vulnerability scan (Trivy),completed,success,2026-08-03T21:54:27Z,2026-08-03T21:54:38Z,11.0
B,pipeline-b-parallel-cache.yml,30856424961,91828403688,Tests + coverage,completed,success,2026-08-03T21:54:27Z,2026-08-03T21:54:45Z,18.0
B,pipeline-b-parallel-cache.yml,30856424961,91828403718,SBOM (Syft),completed,success,2026-08-03T21:54:33Z,2026-08-03T21:54:41Z,8.0
B,pipeline-b-parallel-cache.yml,30856424961,91828403734,Lint (Ruff),completed,success,2026-08-03T21:54:29Z,2026-08-03T21:54:40Z,11.0
B,pipeline-b-parallel-cache.yml,30856424961,91828908794,SonarCloud analysis,completed,success,2026-08-03T21:55:33Z,2026-08-03T21:55:53Z,20.0
B,pipeline-b-parallel-cache.yml,30856420988,91828393940,Vulnerability scan (Trivy),completed,success,2026-08-03T21:54:27Z,2026-08-03T21:54:43Z,16.0
B,pipeline-b-parallel-cache.yml,30856420988,91828393946,Lint (Ruff),completed,success,2026-08-03T21:54:09Z,2026-08-03T21:54:18Z,9.0
B,pipeline-b-parallel-cache.yml,30856420988,91828393967,Tests + coverage,completed,success,2026-08-03T21:54:16Z,2026-08-03T21:54:26Z,10.0
B,pipeline-b-parallel-cache.yml,30856420988,91828393976,SBOM (Syft),completed,success,2026-08-03T21:54:16Z,2026-08-03T21:54:25Z,9.0
B,pipeline-b-parallel-cache.yml,30856420988,91828843704,SonarCloud analysis,completed,success,2026-08-03T21:55:23Z,2026-08-03T21:55:44Z,21.0
B,pipeline-b-parallel-cache.yml,30856417145,91828382655,Lint (Ruff),completed,success,2026-08-03T21:53:54Z,2026-08-03T21:54:04Z,10.0
B,pipeline-b-parallel-cache.yml,30856417145,91828382667,SBOM (Syft),completed,success,2026-08-03T21:54:00Z,2026-08-03T21:54:08Z,8.0
B,pipeline-b-parallel-cache.yml,30856417145,91828382715,Tests + coverage,completed,success,2026-08-03T21:54:07Z,2026-08-03T21:54:25Z,18.0
