strategy,workflow_file,run_id,job_id,job_name,status,conclusion,started_at,completed_at,duration_s
B,pipeline-b-parallel-cache.yml,30858774473,91835882933,Tests + coverage,completed,success,2026-08-03T22:28:34Z,2026-08-03T22:28:52Z,18.0
B,pipeline-b-parallel-cache.yml,30858774473,91835882991,Vulnerability scan (Trivy),completed,success,2026-08-03T22:28:36Z,2026-08-03T22:28:52Z,16.0
B,pipeline-b-parallel-cache.yml,30858774473,91835883007,Lint (Ruff),completed,success,2026-08-03T22:28:36Z,2026-08-03T22:28:43Z,7.0
B,pipeline-b-parallel-cache.yml,30858774473,91835883028,SBOM (Syft),completed,success,2026-08-03T22:28:36Z,2026-08-03T22:28:41Z,5.0
B,pipeline-b-parallel-cache.yml,30858774473,91835962951,SonarCloud analysis,completed,success,2026-08-03T22:28:58Z,2026-08-03T22:29:27Z,29.0
B,pipeline-b-parallel-cache.yml,30858726647,91835730697,Lint (Ruff),completed,success,2026-08-03T22:27:50Z,2026-08-03T22:27:57Z,7.0
B,pipeline-b-parallel-cache.yml,30858726647,91835730703,Tests + coverage,completed,success,2026-08-03T22:27:44Z,2026-08-03T22:27:58Z,14.0
B,pipeline-b-parallel-cache.yml,30858726647,91835730730,Vulnerability scan (Trivy),completed,success,2026-08-03T22:27:45Z,2026-08-03T22:28:00Z,15.0
B,pipeline-b-parallel-cache.yml,30858726647,91835730756,SBOM (Syft),completed,success,2026-08-03T22:27:50Z,2026-08-03T22:27:57Z,7.0
B,pipeline-b-parallel-cache.yml,30858726647,91835785127,SonarCloud analysis,completed,success,2026-08-03T22:28:00Z,2026-08-03T22:28:22Z,22.0
B,pipeline-b-parallel-cache.yml,30858679977,91835577849,Tests + coverage,completed,success,2026-08-03T22:26:59Z,2026-08-03T22:27:11Z,12.0
B,pipeline-b-parallel-cache.yml,30858679977,91835577894,Vulnerability scan (Trivy),completed,success,2026-08-03T22:27:01Z,2026-08-03T22:27:15Z,14.0
B,pipeline-b-parallel-cache.yml,30858679977,91835577921,SBOM (Syft),completed,success,2026-08-03T22:27:07Z,2026-08-03T22:27:17Z,10.0
B,pipeline-b-parallel-cache.yml,30858679977,91835577929,Lint (Ruff),completed,success,2026-08-03T22:27:04Z,2026-08-03T22:27:15Z,11.0
B,pipeline-b-parallel-cache.yml,30858679977,91835624791,SonarCloud analysis,completed,success,2026-08-03T22:27:13Z,2026-08-03T22:27:29Z,16.0
B,pipeline-b-parallel-cache.yml,30858632074,91835424182,Tests + coverage,completed,success,2026-08-03T22:26:14Z,2026-08-03T22:26:23Z,9.0
B,pipeline-b-parallel-cache.yml,30858632074,91835424190,Lint (Ruff),completed,success,2026-08-03T22:26:14Z,2026-08-03T22:26:20Z,6.0
B,pipeline-b-parallel-cache.yml,30858632074,91835424279,Vulnerability scan (Trivy),completed,success,2026-08-03T22:26:15Z,2026-08-03T22:26:25Z,10.0
B,pipeline-b-parallel-cache.yml,30858632074,91835424286,SBOM (Syft),completed,success,2026-08-03T22:26:21Z,2026-08-03T22:26:28Z,7.0
B,pipeline-b-parallel-cache.yml,30858632074,91835460157,SonarCloud analysis,completed,success,2026-08-03T22:26:31Z,2026-08-03T22:26:47Z,16.0
B,pipeline-b-parallel-cache.yml,30858585739,91835274519,SBOM (Syft),completed,success,2026-08-03T22:25:29Z,2026-08-03T22:25:38Z,9.0
B,pipeline-b-parallel-cache.yml,30858585739,91835274561,Lint (Ruff),completed,success,2026-08-03T22:25:30Z,2026-08-03T22:25:41Z,11.0
B,pipeline-b-parallel-cache.yml,30858585739,91835274582,Vulnerability scan (Trivy),completed,success,2026-08-03T22:25:30Z,2026-08-03T22:25:45Z,15.0
B,pipeline-b-parallel-cache.yml,30858585739,91835274601,Tests + coverage,completed,success,2026-08-03T22:25:29Z,2026-08-03T22:25:41Z,12.0
B,pipeline-b-parallel-cache.yml,30858585739,91835322872,SonarCloud analysis,completed,success,2026-08-03T22:25:44Z,2026-08-03T22:26:07Z,23.0
B,pipeline-b-parallel-cache.yml,30858519853,91835058487,Tests + coverage,completed,success,2026-08-03T22:24:29Z,2026-08-03T22:24:45Z,16.0
B,pipeline-b-parallel-cache.yml,30858519853,91835058510,Vulnerability scan (Trivy),completed,success,2026-08-03T22:24:33Z,2026-08-03T22:24:48Z,15.0
B,pipeline-b-parallel-cache.yml,30858519853,91835058535,Lint (Ruff),completed,success,2026-08-03T22:24:28Z,2026-08-03T22:24:40Z,12.0
