strategy,workflow_file,run_id,run_number,run_attempt,event,head_branch,status,conclusion,created_at,run_started_at,updated_at,duration_total_s,billable_minutes_linux
A,pipeline-a-sequential.yml,30858229802,21,1,workflow_dispatch,main,completed,success,2026-08-03T22:19:51Z,2026-08-03T22:19:51Z,2026-08-03T22:20:46Z,55.0,1
A,pipeline-a-sequential.yml,30858182782,20,1,workflow_dispatch,main,completed,success,2026-08-03T22:19:06Z,2026-08-03T22:19:06Z,2026-08-03T22:19:42Z,36.0,1
A,pipeline-a-sequential.yml,30858120392,19,1,workflow_dispatch,main,completed,success,2026-08-03T22:18:05Z,2026-08-03T22:18:05Z,2026-08-03T22:18:52Z,47.0,1
A,pipeline-a-sequential.yml,30858074506,18,1,workflow_dispatch,main,completed,success,2026-08-03T22:17:20Z,2026-08-03T22:17:20Z,2026-08-03T22:17:56Z,36.0,1
A,pipeline-a-sequential.yml,30858010866,17,1,workflow_dispatch,main,completed,success,2026-08-03T22:16:18Z,2026-08-03T22:16:18Z,2026-08-03T22:17:12Z,54.0,1
A,pipeline-a-sequential.yml,30857946200,16,1,workflow_dispatch,main,completed,success,2026-08-03T22:15:17Z,2026-08-03T22:15:17Z,2026-08-03T22:16:06Z,49.0,1
A,pipeline-a-sequential.yml,30857878853,15,1,workflow_dispatch,main,completed,success,2026-08-03T22:14:16Z,2026-08-03T22:14:16Z,2026-08-03T22:15:09Z,53.0,1
A,pipeline-a-sequential.yml,30857811259,14,1,workflow_dispatch,main,completed,success,2026-08-03T22:13:15Z,2026-08-03T22:13:15Z,2026-08-03T22:14:02Z,47.0,1
A,pipeline-a-sequential.yml,30857746853,13,1,workflow_dispatch,main,completed,success,2026-08-03T22:12:14Z,2026-08-03T22:12:14Z,2026-08-03T22:13:05Z,51.0,1
A,pipeline-a-sequential.yml,30857682979,12,1,workflow_dispatch,main,completed,success,2026-08-03T22:11:13Z,2026-08-03T22:11:13Z,2026-08-03T22:11:57Z,44.0,1
