strategy,workflow_file,run_id,run_number,run_attempt,event,head_branch,status,conclusion,created_at,run_started_at,updated_at,duration_total_s,billable_minutes_linux
C,pipeline-c-conditional.yml,30859359325,22,1,workflow_dispatch,main,completed,success,2026-08-03T22:37:33Z,2026-08-03T22:37:33Z,2026-08-03T22:38:12Z,39.0,5
C,pipeline-c-conditional.yml,30859297629,21,1,workflow_dispatch,main,completed,success,2026-08-03T22:36:32Z,2026-08-03T22:36:32Z,2026-08-03T22:37:23Z,51.0,5
C,pipeline-c-conditional.yml,30859232540,20,1,workflow_dispatch,main,completed,success,2026-08-03T22:35:31Z,2026-08-03T22:35:31Z,2026-08-03T22:36:15Z,44.0,5
C,pipeline-c-conditional.yml,30859179918,19,1,workflow_dispatch,main,completed,success,2026-08-03T22:34:46Z,2026-08-03T22:34:46Z,2026-08-03T22:35:28Z,42.0,5
C,pipeline-c-conditional.yml,30859131741,18,1,workflow_dispatch,main,completed,success,2026-08-03T22:34:01Z,2026-08-03T22:34:01Z,2026-08-03T22:34:37Z,36.0,5
C,pipeline-c-conditional.yml,30859067994,17,1,workflow_dispatch,main,completed,success,2026-08-03T22:33:00Z,2026-08-03T22:33:00Z,2026-08-03T22:33:52Z,52.0,5
C,pipeline-c-conditional.yml,30859020016,16,1,workflow_dispatch,main,completed,success,2026-08-03T22:32:15Z,2026-08-03T22:32:15Z,2026-08-03T22:32:58Z,43.0,5
C,pipeline-c-conditional.yml,30858955424,15,1,workflow_dispatch,main,completed,success,2026-08-03T22:31:14Z,2026-08-03T22:31:14Z,2026-08-03T22:32:03Z,49.0,5
C,pipeline-c-conditional.yml,30858907213,14,1,workflow_dispatch,main,completed,success,2026-08-03T22:30:28Z,2026-08-03T22:30:28Z,2026-08-03T22:31:10Z,42.0,5
C,pipeline-c-conditional.yml,30858854433,13,1,workflow_dispatch,main,completed,success,2026-08-03T22:29:43Z,2026-08-03T22:29:43Z,2026-08-03T22:30:24Z,41.0,5
