strategy,workflow,run_index,run_id,run_number,created_at,artifact_name,trivy_file,UNKNOWN,LOW,MEDIUM,HIGH,CRITICAL,total
A,pipeline-a-sequential.yml,1,30858229802,21,2026-08-03T22:19:51Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,2,30858182782,20,2026-08-03T22:19:06Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,3,30858120392,19,2026-08-03T22:18:05Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,4,30858074506,18,2026-08-03T22:17:20Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,5,30858010866,17,2026-08-03T22:16:18Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,6,30857946200,16,2026-08-03T22:15:17Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,7,30857878853,15,2026-08-03T22:14:16Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,8,30857811259,14,2026-08-03T22:13:15Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,9,30857746853,13,2026-08-03T22:12:14Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
A,pipeline-a-sequential.yml,10,30857682979,12,2026-08-03T22:11:13Z,pipeline-a-reports,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,1,30858774473,20,2026-08-03T22:28:27Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,2,30858726647,19,2026-08-03T22:27:41Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,3,30858679977,18,2026-08-03T22:26:56Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,4,30858632074,17,2026-08-03T22:26:11Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,5,30858585739,16,2026-08-03T22:25:26Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,6,30858519853,15,2026-08-03T22:24:25Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,7,30858451718,14,2026-08-03T22:23:24Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,8,30858406349,13,2026-08-03T22:22:39Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,9,30858356814,12,2026-08-03T22:21:53Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
B,pipeline-b-parallel-cache.yml,10,30858294491,11,2026-08-03T22:20:52Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,1,30859359325,22,2026-08-03T22:37:33Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,2,30859297629,21,2026-08-03T22:36:32Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,3,30859232540,20,2026-08-03T22:35:31Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,4,30859179918,19,2026-08-03T22:34:46Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,5,30859131741,18,2026-08-03T22:34:01Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,6,30859067994,17,2026-08-03T22:33:00Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,7,30859020016,16,2026-08-03T22:32:15Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,8,30858955424,15,2026-08-03T22:31:14Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,9,30858907213,14,2026-08-03T22:30:28Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
C,pipeline-c-conditional.yml,10,30858854433,13,2026-08-03T22:29:43Z,trivy-report,trivy-fs.json,0,1,0,0,0,1
