strategy,workflow_file,run_id,job_id,job_name,status,conclusion,started_at,completed_at,duration_s
B,pipeline-b-parallel-cache.yml,31963720188,95205528342,SBOM (Syft),completed,success,2026-08-16T18:08:53Z,2026-08-16T18:09:01Z,8.0
B,pipeline-b-parallel-cache.yml,31963720188,95205528380,SCA — vulnerability scan (Trivy fs),completed,success,2026-08-16T18:08:54Z,2026-08-16T18:09:08Z,14.0
B,pipeline-b-parallel-cache.yml,31963720188,95205528384,Lint (Ruff),completed,success,2026-08-16T18:08:54Z,2026-08-16T18:09:04Z,10.0
B,pipeline-b-parallel-cache.yml,31963720188,95205528388,Secret scan (Trivy),completed,success,2026-08-16T18:08:53Z,2026-08-16T18:09:05Z,12.0
B,pipeline-b-parallel-cache.yml,31963720188,95205528405,Tests + coverage,completed,success,2026-08-16T18:08:54Z,2026-08-16T18:09:58Z,64.0
B,pipeline-b-parallel-cache.yml,31963720188,95205528421,SAST (Bandit),completed,success,2026-08-16T18:08:54Z,2026-08-16T18:09:07Z,13.0
B,pipeline-b-parallel-cache.yml,31963666550,95205390945,SCA — vulnerability scan (Trivy fs),completed,success,2026-08-16T18:07:47Z,2026-08-16T18:07:58Z,11.0
B,pipeline-b-parallel-cache.yml,31963666550,95205390947,SBOM (Syft),completed,success,2026-08-16T18:07:47Z,2026-08-16T18:07:57Z,10.0
B,pipeline-b-parallel-cache.yml,31963666550,95205390952,SAST (Bandit),completed,success,2026-08-16T18:07:47Z,2026-08-16T18:07:58Z,11.0
B,pipeline-b-parallel-cache.yml,31963666550,95205390962,Tests + coverage,completed,success,2026-08-16T18:07:47Z,2026-08-16T18:08:51Z,64.0
B,pipeline-b-parallel-cache.yml,31963666550,95205390965,Secret scan (Trivy),completed,success,2026-08-16T18:07:47Z,2026-08-16T18:07:57Z,10.0
B,pipeline-b-parallel-cache.yml,31963666550,95205391036,Lint (Ruff),completed,success,2026-08-16T18:07:47Z,2026-08-16T18:07:57Z,10.0
B,pipeline-b-parallel-cache.yml,31963596279,95205209331,Lint (Ruff),completed,success,2026-08-16T18:06:20Z,2026-08-16T18:06:27Z,7.0
B,pipeline-b-parallel-cache.yml,31963596279,95205209359,SAST (Bandit),completed,success,2026-08-16T18:06:20Z,2026-08-16T18:06:27Z,7.0
B,pipeline-b-parallel-cache.yml,31963596279,95205209396,Secret scan (Trivy),completed,success,2026-08-16T18:06:21Z,2026-08-16T18:06:34Z,13.0
B,pipeline-b-parallel-cache.yml,31963596279,95205209425,SBOM (Syft),completed,success,2026-08-16T18:06:20Z,2026-08-16T18:06:31Z,11.0
B,pipeline-b-parallel-cache.yml,31963596279,95205209461,Tests + coverage,completed,success,2026-08-16T18:06:21Z,2026-08-16T18:07:26Z,65.0
B,pipeline-b-parallel-cache.yml,31963596279,95205209482,SCA — vulnerability scan (Trivy fs),completed,success,2026-08-16T18:06:20Z,2026-08-16T18:06:30Z,10.0
B,pipeline-b-parallel-cache.yml,31963489384,95204932106,Tests + coverage,completed,success,2026-08-16T18:04:14Z,2026-08-16T18:05:15Z,61.0
B,pipeline-b-parallel-cache.yml,31963489384,95204932120,SBOM (Syft),completed,success,2026-08-16T18:04:15Z,2026-08-16T18:04:25Z,10.0
B,pipeline-b-parallel-cache.yml,31963489384,95204932121,SCA — vulnerability scan (Trivy fs),completed,success,2026-08-16T18:04:14Z,2026-08-16T18:04:27Z,13.0
B,pipeline-b-parallel-cache.yml,31963489384,95204932164,Lint (Ruff),completed,success,2026-08-16T18:04:14Z,2026-08-16T18:04:23Z,9.0
B,pipeline-b-parallel-cache.yml,31963489384,95204932206,SAST (Bandit),completed,success,2026-08-16T18:04:14Z,2026-08-16T18:04:23Z,9.0
B,pipeline-b-parallel-cache.yml,31963489384,95204932209,Secret scan (Trivy),completed,success,2026-08-16T18:04:14Z,2026-08-16T18:04:29Z,15.0
B,pipeline-b-parallel-cache.yml,31963411415,95204732548,Lint (Ruff),completed,success,2026-08-16T18:02:41Z,2026-08-16T18:02:47Z,6.0
B,pipeline-b-parallel-cache.yml,31963411415,95204732560,Secret scan (Trivy),completed,success,2026-08-16T18:02:41Z,2026-08-16T18:02:51Z,10.0
B,pipeline-b-parallel-cache.yml,31963411415,95204732568,SAST (Bandit),completed,success,2026-08-16T18:02:41Z,2026-08-16T18:02:48Z,7.0
B,pipeline-b-parallel-cache.yml,31963411415,95204732598,SBOM (Syft),completed,success,2026-08-16T18:02:41Z,2026-08-16T18:02:48Z,7.0
B,pipeline-b-parallel-cache.yml,31963411415,95204732624,Tests + coverage,completed,success,2026-08-16T18:02:41Z,2026-08-16T18:03:47Z,66.0
B,pipeline-b-parallel-cache.yml,31963411415,95204732661,SCA — vulnerability scan (Trivy fs),completed,success,2026-08-16T18:02:41Z,2026-08-16T18:02:55Z,14.0
B,pipeline-b-parallel-cache.yml,31963318032,95204500808,SAST (Bandit),completed,success,2026-08-16T18:00:51Z,2026-08-16T18:00:57Z,6.0
B,pipeline-b-parallel-cache.yml,31963318032,95204500821,SBOM (Syft),completed,success,2026-08-16T18:00:51Z,2026-08-16T18:01:02Z,11.0
B,pipeline-b-parallel-cache.yml,31963318032,95204500833,SCA — vulnerability scan (Trivy fs),completed,success,2026-08-16T18:00:51Z,2026-08-16T18:01:05Z,14.0
B,pipeline-b-parallel-cache.yml,31963318032,95204500848,Secret scan (Trivy),completed,success,2026-08-16T18:00:51Z,2026-08-16T18:01:06Z,15.0
B,pipeline-b-parallel-cache.yml,31963318032,95204500850,Tests + coverage,completed,success,2026-08-16T18:00:51Z,2026-08-16T18:01:57Z,66.0
