strategy,workflow_file,run_id,run_number,run_attempt,event,head_branch,status,conclusion,created_at,run_started_at,updated_at,duration_total_s,billable_minutes_linux
C,pipeline-c-conditional.yml,31963731574,37,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:09:04Z,2026-08-16T18:09:04Z,2026-08-16T18:10:09Z,65.0,7
C,pipeline-c-conditional.yml,31963680364,36,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:08:00Z,2026-08-16T18:08:00Z,2026-08-16T18:09:11Z,71.0,7
C,pipeline-c-conditional.yml,31963607874,35,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:06:32Z,2026-08-16T18:06:32Z,2026-08-16T18:07:45Z,73.0,7
C,pipeline-c-conditional.yml,31963507312,34,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:04:31Z,2026-08-16T18:04:31Z,2026-08-16T18:05:43Z,72.0,7
C,pipeline-c-conditional.yml,31963424314,33,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:02:52Z,2026-08-16T18:02:52Z,2026-08-16T18:04:00Z,68.0,7
C,pipeline-c-conditional.yml,31963334334,32,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:01:05Z,2026-08-16T18:01:05Z,2026-08-16T18:02:09Z,64.0,6
C,pipeline-c-conditional.yml,31963281092,31,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T18:00:09Z,2026-08-16T18:00:09Z,2026-08-16T18:01:23Z,74.0,7
C,pipeline-c-conditional.yml,31963206355,30,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T17:58:38Z,2026-08-16T17:58:38Z,2026-08-16T17:59:45Z,67.0,7
C,pipeline-c-conditional.yml,31963115257,29,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T17:56:46Z,2026-08-16T17:56:46Z,2026-08-16T17:57:48Z,62.0,6
C,pipeline-c-conditional.yml,31963011617,28,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T17:54:42Z,2026-08-16T17:54:42Z,2026-08-16T17:55:51Z,69.0,7
C,pipeline-c-conditional.yml,31961896482,27,1,workflow_dispatch,v2-devsecops,completed,success,2026-08-16T17:32:19Z,2026-08-16T17:32:19Z,2026-08-16T17:33:30Z,71.0,7
